"1-molssaeavttut","1-valinnat"
"dorjojuvvon magnetismamihtut t (tesla), ga (gauss).","tuetut magnetismimitat t (tesla), ga (gauss)."
"dorjojuvvon standárddat","tuetut standardit"
"dorjojuvvon temperatuvra mihtut c (celsius), f (fahrenheit), k (kelvin).","tuetut lämpötilamitat c (celsius), f (fahrenheit), k (kelvin)."
"dos/windows","dos/windows"
"dovddan","sensori"
"dovddan manai birzerájá badjel","tunnistin ylitti kriittisen rajan"
"dovddana diehtočoagginheivehusat","anturilokin asetukset"
"dovddanalárbma","anturihälytys"
"dovddanat","anturit"
"dovddanlogan","anturiselain"
"dovddanlogga","anturiloki"
"dovddannamma","sensorin nimi"
"dovddus prográmmat","tunnetut sovellukset"
"dovddus šlájat","tunnetut tiedostotyypit"
"doxygen","doxygen"
"doxygenlua","doxygenlua"
"dpsftp","dpsftp"
"dr. geo-govadat","dr. geo -kuvio"
"dr. klasha jođánisboallodiagnosa","dr klashin pikanäppäindiagnoosi"
"drachma","drakma"
"dtandárdidentifikašuvdna","oletustunnistetiedot"
"du s/mime-krypterenduođaštus","s/mime-salausvarmenne"
"du beassansátni boarásmuvvá otne.","salasanasi vanhentuu tänään."
"du duođaštusat","varmenteesi"
"du fáksa vástidandihte","faksivastaukset"
"du fáksabajilčála","faksiotsikko"
"du konttu geavaheaddjenama","käyttäjätunnuksesi"
"du kontu boarásmuvvá otne.","tilisi vanhentuu tänään."
"du lavtta čáppa namma","valitsemasi nimi rajapinnalle"
"du mašiidna ii doarjjo opengl-áđaid.","tietokone ei tue opengl-sovelmia."
"du musihkka sirdejuvvo deikke 1","musiikki siirretään kohteeseen 1"
"du peršuvnnalaš fiillat","henkilökohtaiset tiedostot"
"duháhiid earru","tuhaterotin"
"duiskalaš (ođđa čállinvuohki","saksa (uusi oikeinkirjoitus"
"duiskka leavga","saksan lippu"
"dulka '1' ii gávdno","tulkkia \ 1\ ei ole"
"dulka","tulkki"
"dulkomin dokumeantta","jäsennetään asiakirjaa"
"dulkomin stiilaárkka","jäsennetään tyylisivua"
"dulkonmeattáhus dáppe 1, 2 linnjás.","jäsennysvirhe kohdassa 1 rivillä 2"
"dummy meta","tyhjä meta"
"duogáš","tausta"
"duodaštusa beassansátni","varmenteen salasana"
"duodaštusráhkadanofelaš","varmenteen luomisvelho"
"duodaštusviđji","varmenneketju"
"duogábealgárri","takakaukalo"
"duogáš gárri","takakannen kaukalo"
"duogáš-čálihanfilbma","back print -filmi"
"duogáš-čálihanmedia","taustatulostusmedia"
"duogášgovvapáhkat","taustakuvapaketit"
"duogášgárri","takasivu"
"duogášgárri (čálus bajás","etukaukalo (etupuoli alas"
"duogášivdni (inteansa","taustaväri (voimakas"
"duogáščađačuovgivuohta","taustan läpinäkyvyys"
"duogáščiehkámuittu sturrodat","taustavälimuistin koko"
"duogáščuovgafilbma","taustavalaistu filmi"
"duohta fonta","todellinen kirjasin"
"duohta govvasturrodat","todellinen kuvakoko"
"duohta identifikašuvdna","todellinen tunniste"
"duohtavuohtaárvoráidu (true dahje false","totuusarvojen alue (tosi tai epätosi"
"duohtavuohtaárvu (true dahje false","totuusarvo (tosi tai epätosi"
"duohtaáigi","reaaliaika"
"duohtta geavaheaddjinamma","käyttäjän oikea nimi"
"duolbbasvuohta","tasaisuus"
"duolbbáš","lauta"
"duolbbáš 1","lauta 1"
"duolbbáš xxxxxx","lauta xxxxxx"
"duođalaš meattáhus bissehii prográmma","vakava virhe aiheutti ohjelman keskeytymisen"
"duođavuohki","onnistumisen todennäköisyys"
"duođaštus (nannen 1","sertifikaatti (kelpoisuus 1"
"duođaštus gusto.","sertifikaatti on kunnossa."
"duođaštus ii gusto","varmenteen takaajan oma varmenne ei ole kelvollinen"
"duođaštus ii gusto vel.","varmenne ei kelpaa vielä."
"duođaštus ii šat gusto.","varmenne ei kelpaa enää."
"duođaštus lea gessejuvvon ruovttoluotta.","varmenne on peruutettu."
"duođaštus lea gesson ruovttoluotta","varmenne on peruutettu"
"duođaštus lea gustomeahttun.","varmenne on kelvoton."
"duođaštus","varmenne"
"duođaštusa sisafievrridanbienat","varmenteen tuonnin yksityiskohdat"
"duođaštusa sisafievrridanstáhtus","varmenteen tuontitilanne"
"duođaštusat ja čoavddamildosat","varmenne- ja avainnippuliitteet"
"duođaštusšládja","varmenteen tyyppi"
"duođáštus ii gusto namahuvvon guossoheddjiin","varmenne ei käy annettu palvelimeen"
"dupleksovttadat (guovttebealát čáliheapmái","kaksipuoleisyksikkö (kaksipuoliseen tulostukseen"
"duppal assás linnjá","ohut kaksoisviiva"
"duppal boastagoarta","tuplapostikortti"
"duppal boastagoarta (jis","double postcard (jis"
"duppalcoahkkal fálloboalu","kaksoisnapsautus valikkopainikkeessa"
"duppalcoahkkaleapmi namahusholggas","otsikkorivin kaksoisnapsautus"
"duppallinnjá","kaksoisviiva"
"duppalčoahkkalan gaskkadat","kaksoisnapsautuksen aikaväli"
"durka","konna"
"dus eai leat vuoigatvuođat buhttet dien čoahkkádusa","sinulla ei ole oikeutta korvata tuota teemaa."
"dus eai leat vuoigatvuođat ráhkadit dien máhpa.","kansion luomiseen ei ole oikeuksia."
"dus ferte leat lohpi juohkkit dáid máhpaid.","kansioiden jaolle tulee antaa lupa."
"dus ii dáidde leat lohpi lohkat resurssas.","tähän resurssiin ei ole lukuoikeuksia."
"dus ii leat lohkan-/cállinvuoigatvuohta 1 máhppii.","sinulla ei ole luku/kirjoitus-oikeuksia 1-kansioosi."
"dus ii leat lohkan-/cállinvuoigatvuohta du sisaboksamáhppii.","sinulla ei ole luku-/kirjoitusoikeuksia saapuneet-kansioon."
"dus ii leat lohkan-/čállinvuoigatvuohta du olggosboksamáhppii.","sinulla ei ole luku-/kirjoitusoikeuksia lähtevät-kansioosi."
"dus ii leat lohkan-/čállinvuoigatvuohta ruskalihttemáhppii.","sinulla ei ole luku/kirjoitus-oikeuksia roskakorikansioon."
"dus ii leat lohpi vuodjit dán bálvalusa.","tämän palvelun suorittamiseen ei ole oikeuksia."
"dus ii leat lohpi vuodjit dán fiilla.","tämän tiedoston suoritukseen ei ole oikeuksia."
"dus ii leat lohpi vuodjit gohččuma '1'.","sinulla ei ole oikeuksia suorittaa komentoa \ 1\."
"dus ii leat vuoigatvuohta beassat 1-protokollii.","protokollaan 1 ei ole käyttöoikeuksia."
"dus ii sáhte leat guorus gohččodannamma.","nimimerkki ei saa olla tyhjä."
"duđat","tyydytä"
"dušše merkejuvvon biras","vain valinnasta"
"dušše 'readonly' lea vejolaš geavahit","vain luku sallittu"
"dušše cmyk","raaka cmyk"
"dušše báikkálaš fiillat dorjojuvvot","vain paikalliset tiedostot ovat tällä hetkellä tuettuja."
"dušše cyanalit","vain syaani"
"dušše eaiggát sáhttá rievdadit beassanvuoigatvuođaid.","vain omistaja voi muuttaa oikeuksia."
"dušše geahččal ráhkadit fáluid","suorita vain valikkojen luonnin testiajo"
"dušše govat","vain kuvat"
"dušše logahahtti fiilavuogadat","tiedostojärjestelmää voidaan vain lukea."
"dušše logahahtti fiilavuogádat","vain luku -tiedostojärjestelmä"
"dušše magentaruoksat","vain magenta"
"dušše nanus vugiid","vain vahvat salausmenetelmät"
"dušše njuolvves vugiid","vain vientiin sallitut salausmenetelmät"
"dušše prográmmat","vain ohjelmat"
"dušše ránesivnnit","vain harmaasävy"
"dušše ránesivnnit (siestindoaibmanvuohki","harmaasävyvedos (economy"
"dušše sihkaris bálvvát","vain turvalliset palvelimet"
"dušše siskkildas geavaheapmái","vain sisäiseen käyttöön"
"dušše standárdlođa","vain vakiolajittelija"
"dušše vuojuhuvvon ghostscript-fonttat","upota vain ghostscript-kirjasimet"
"dušše vuosttáš","vain ensimmäinen"
"dušše vuosttáš siidu","vain ensimmäinen sivu"
"dušše 'root'","vain pääkäyttäjältä"
"dušše čálit ja heaittit","tulosta ja poistu"
"duššečáhppat","vainmusta"
"dynamálaš linnjámolsunmearkkat (jos vejolaš","dynaamisen rivityksen merkki (jos käytössä"
"dynámalaš modusa stáhtus.","elävän soittolistan tila."
"dábálas ránesivnnit","tavallinen harmaasävy"
"dábálaš ivdni ...","normaali väri..."
"dábálaš (8 ivnni","normaali (8-väriä"
"dábálaš (auto-áicca bábiršlája","normaali (tunnista paperityyppi automaattisesti"
"dábálaš (ivdnikaseahtta","normaali (väripatruuna"
"dábálaš xslt-fiillat","yleiset xslt-tiedostot"
"dábálaš bábir","normaali paperi"
"dábálaš doaibmanvuohki (autovállje","normaalitila (automaattinen valinta"
"dábálaš duogáš","tavallinen tausta"
"dábálaš ivdnekaseahtta","vakio värikasetti"
"dábálaš ivdnekvalitehta (4-leahkka","normaali värilaatu (4-mustetta"
"dábálaš ivdnikvalitehta (4 leahkka","normaalilaatuinen väri (4-muste"
"dábálaš kvalitehta (/etc/pnm 2ppa.gamma_normal","normaalilaatu (/etc/pnm 2ppa.gamma_normal"
"dábálaš loguid ivdni","digitaalinäytön väri"
"dábálaš láse","normaali ikkuna"
"dábálaš lásešduogáš","yleinen ikkunatausta"
"dábálaš namma","yhteinen nimi"
"dábálaš ránesivnnit (čáhppes- ja ivdnekaseahtta","normaali harmaasävy (musta ja väripatruuna"
"dábálaš teaksta","normaali teksti"
"dábálaš teakstastiillat","normaalit tekstityylit"
"dábálaš čuokkisčoahkku","normaali resoluutio"
"dábálaš čáhppes ivdnekaseahtta","vakio musta kasetti"
"dábálaš, ránesivnnit (čáhppas ivdnekaseahtta","normaali harmaasävy (musta panos"
"dábálaškvalitehta","normaali laatu"
"dáhpahusgáldu","toimintolähde"
"dáhpahuvvai meattáhus vurkedettiin gova 1","tapahtui virhe tallennettaessa kuvaa \ 1\"
"dáhpáhus","tapahtuma"
"dáhpáhusteaksta","tapahtuman teksti"
"dáhpáhusčájeheaddji","tapahtumanäkymä"
"dáhtamáhppa","datakansio"
"dáhtat","tieto"
"dáhtaviežžan 1as ii dorjojuvu","tietojen hakemista kohteesta 1 ei tueta."
"dáhton ii gusto","päivämäärä on virheellinen."
"dáhton ja áigi 1","päivämäärä ja kellonaika 1"
"dáhton- ja áigegaskkaldat","päiväys aika-alue"
"dáhton- ja áigeválljejeaddji","päivämäärän ja ajan valinta"
"dáhton 1","päivämäärä 1"
"dáhton 2","päivämäärä 2"
"dáhtona badjerádji","päivämäärä enintään"
"dáhtona vuollerádji","päivämäärä vähintään"
"dáhtonformáhtta","tietomuoto"
"dáid skearruid don leat ovdal viežžan","nämä albumit on ladattu aiemmin"
"dáiddár","taiteilija"
"dáidá leat meattáhus bálvvá bealis.","virhe saattaa olla palvelimella."
"dáinna giddet dálá dokumeantta","käytä tätä nykyisen asiakirjan sulkemiseksi"
"dáinna","hakuehto"
"dál de bázát okto","olet omillasi"
"dálá jođánisboallu","nykyinen pikanäppäin"
"dálá fierpmádatparamehterat","verkkoasetukset ovat nyt"
"dálá geavaheaddji 1","voimassa oleva käyttäjä 1"
"dálá linnjá","nykyinen rivi"
"dálá árvu (pv","prosenttiarvo"
"dálá árvvut","nykyiset arvot"
"dálá árvvut(pv","nykyiset arvot (pv"
"dálá čoahkadus","nykyinen teema"
"dálá čálánheivehusat","tulostimen nykyinen asetus"
"dán bihtá suoivvanas","palikan varjo"
"dán dokumeanttas eai leat árkkat (tabeallat).","tässä asiakirjassa ei ole taulukkoa."
"dán dáhtabásas eai leat tabeallat","tässä tietokannassa ei ole tauluja."
"dán funkšuvnnas eai leat paramehterat.","tällä funktiolla ei ole parametreja."
"dán fáttás ii leat ovdačájeheapmi.","tälle teemalle ei ole esikatselukuvaa."
"dán joavkkus","ryhmässä"
"dán láhkai dáhtonat čájehuvvojit.","tässä kohdassa on esikatselunäyttö kellonajan esittämistavasta."
"dán láhkai fiilanamma šaddá go lea rievdaduvvon.","esimerkki siitä, millaisia tiedoston nimi ja sijainti tulisivat olemaan."
"dán láhkai logut čájehuvvojit.","tässä kohdassa on esikatselunäyttö lukujen esittämistavasta."
"dán máhpas du iežaš fiillat leat","avaa kotikansio"
"dán máhppii","nykyiselle kansiolle"
"dán máhppii ja buot dan vuollemáhpaide","nykyiselle kansiolle ja sen alikansioille"
"dán nammii fiila vurkejuvvo.","tämä on tallennettavan tiedoston nimi."
"dán partišuvnna fiilavuogádaga namahus.","tee järjestelmästä käynnistyvä"
"dán partišuvnna čatnanbáikki","etsitään käynnistysosioita"
"dán reivves eai lean duođaštusat.","varmenteita ei löydetty tästä viestistä."
"dán siiddus leat kodenmeattáhusat.","tämä verkkosivu sisältää koodivirheitä."
"dán silli govaš","kuva suotimelle"
"dán čálihánstiillas eai leat heivehaneavttut.","tällä tulostustyylillä ei ole muutettavia asetuksia."
"dán","nykyinen"
"dániiivdnedielkosiidu","tämä ei ole pistevärisivu"
"dánivdnedielkosiidu","tämä on pistevärisivu"
"dáppe sáhtát heivehit panela bargoholgga.","aseta gmerlin-näppäimistopalvelu"
"dárbbaša dieđuid","syöte vaaditaan"
"dárbbaša supergeavaheaddjevuoigatvuođaid.","tarvitaan pääkäyttäjän oikeuksia."
"dárkilis dihkken","tarkka vianjäljitys"
"dárkilis ohcan google báikkis","tiedostojen indeksointi ja haku"
"dárkkis stáhtusa","tarkista saatavuus"
"dárkkis sycoca-diehtovuođu dušše oktii","tarkista sycoca-tietokanta vain kerran"
"dárkkis ahte dokumeanta gusto","tarkista asiakirjan syntaksi"
"dárkkis ahte fierpmádatoktavuohta doaibmá.","varmista, että verkkoyhteys on käytössä."
"dárkkis du beassanvuoigatvuođaid dán resursii.","tarkista käyttöoikeudet tähän resurssiin."
"dárkkis fiillaid áigesteampaliid","tarkista tiedostojen aikaleimat"
"dárkkis gohččunsyntávssa 1 <fiillat>","tarkista komennon oikeellisuus 1 <tiedostoja>"
"dárkkis jos galggašii heivehusfiilla ieš ođasmahttit","tarkista vaatiiko itse asetustiedosto päivitystä"
"dárkkis merkejuvvon teavstta riektačállima.","oikolue valittu teksti"
"dárkkis reivviid antivirusreaidduiguin","tarkista viestit virustorjuntaohjelmien avulla"
"dárkkis riektačállima merkejuvvon guovllus ...","oikolue valinta..."
"dárkkis riektačállima ...","tarkista oikeinkirjoitus..."
"dárkkis stáhtusa visot","tarkista kaikkien saatavuus"
"dárkkis čoavdaga ođđasit","tarkista avain uudelleen"
"dárkkisteamen debian-arkiivva speadjala","tarkistetaan debian-asennuspalvelin"
"dárkkisteamen veršuvdnafiila vuolláičála","tarkistetaan julkaisun allekirjoitus"
"dárkkisteamen vuoigatvuođaid","tarkistetaan oikeuksia"
"dárkkisteamen ...","tarkastetaan..."
"dás heivehat mo konqueror fiilagieđahallin galgá láhttet","tässä kohdassa voit muokata konquerorin tiedostonhallinnan asetuksia"
"dás lea dieđut válljejuvvon fáttás.","tässä on tietoja valitusta teemasta."
"dás sáhtát válljet fontastiilla maid geavahit.","tästä voit valita käytettävän kirjasintyylin."
"dás sáhtát válljet fontasturrodaga maid geavahit","tästä voit valita käytettävän kirjasinkoon."
"dás válljet makkár fontta áiggut geavahit.","tästä voit valita käytettävän kirjasimen."
"dás válljet mo dálá dokumeanta syntáksamerkejuvvo.","tästä voit valita miten nykyinen asiakirja korostetaan."
"dás čálát 1-čállinbeavddi nama","tässä voit antaa nimen työpöydälle 1"
"dássedeaddu","balanssi"
"dássedeaddu","tasapaino"
"dássegovddat fonta (dego čállinmašiinnas","tasavälinen kirjasin (kirjoituskonekirjasin"
"dássi 1 lea geargan","taso 1 läpi"
"dássi 1","taso 1"
"dát imap-bálva ii doarjjo beassandárkkistanlisttuid (acl","tämä imap-palvelin ei tue käyttöoikeuslistoja (acl"
"dát bargu lea ivdnedielkosiidu","tämä työ on pistevärisivu"
"dát bálvá ii doarjjo tls","tämä palvelin ei tue tls-protokollaa"
"dát doaibma eastáduvvui eará meattáhusa dihte.","toiminto estyi jonkin muun virheen vuoksi."
"dát doaibma gáibida nannema.","tämä toiminto edellyttää tunnistautumista."
"dát dokumeantaveršuvdna ii dorjojuvvo.","asiakirjan versio, jota ei tueta"
"dát duođaštus cevccii buot geahččalemiid.","tämä varmenne läpäisi testin."
"dát duođaštus ii gula dása.","varmenne ei ole asiaankuuluva."
"dát dáidá ádjánit.","tämä voi kestää hetken."
"dát eai dárbbaš beassansáni geavahit","salasana ei tarvita"
"dát fiila geavaha erenoamáš vuoigatvuođaid","tämä tiedosto käyttää kehittyneitä käyttöoikeuksia."
"dát fonta geavahuvvo prográmmaid fáluin.","kirjasin, jota käytetään sovellusten valikoissa."
"dát funkšuvdna geardu juohke árvvu -1in.","funktio kertoo jokaisen arvon -1llä."
"dát heivehusoassi lea juo rabas dáppe 1","tämä asetusosio on jo avattu sovelluksessa 1"
"dát ii leat foomatic-čálán","tämä ei ole foomatic-tulostin."
"dát ii leat gustojeaddji árvu.","arvo ei kelvollinen."
"dát ii leat vuolláičálliduođaštus.","tämä ei ole allekirjoittajan varmenne."
"dát lea boahti ivdnás diehtu.","tässä on saapuva väritetty viesti"
"dát lea merkejuvvon diehtu","tämä on korostettu viesti"
"dát lea nama dan fiillas mii rahppo.","tämä on avattavan tiedoston nimi."
"dát lea siskkáldas diehtu","tämä on sisäinen viesti"
"dát lea speallárdiehtu","tämä on pelaajan viesti"
"dát lea vuogádatdiehtu","tämä on järjestelmäviesti"
"dát leat du girjemearkkat, álkibut gávdnat","tämä on luettelo kirjanmerkeistäsi"
"dát leavga diktá geahččat máhpa sisdoalu.","tämä valinta sallii kansion lukemisen."
"dát mearkarádju ii dorjojuvvo.","tätä merkistöä ei tueta."
"dát mearkkuš buhttejuvvo vuojuhuvvon oasi merkošiin.","elementti korvataan kaikilla upotetun komponentin elementeillä."
"dát mearkkuš gávdno juo.","tämä tietue on jo olemassa."
"dát meattáhus čuožžilii","tapahtui seuraava virhe"
"dát mielddus lea sihkojuvvon.","tämä liite on poistettu"
"dát máhppa geavaha erenoamáš vuoigatvuođaid.","tämä kansio käyttää kehittyneitä käyttöoikeuksia."
"dát namma geavahuvvo juo.","nimi on jo käytössä."
"dát oktavuohta ii leat sihkeraston sslain.","yhteyttä ei ole salattu ssl-salauksella."
"dát oktavuohta sihkerasto sslain.","yhteys on salattu ssl-salauksella."
"dát prográmma juhkkojuvvo 1 eavttuid mielde.","tämä ohjelma levitetään 1 lisenssin alaisena."
"dát rahpá ođđa gilkora duogážin.","tämä avaa uuden välilehden taustalle."
"dát vuogádat ii doarjjo opengl-áđaid.","tämä järjestelmä ei tue opengl-sovelmia."
"dát váldá merkejuvvon giela eret listtus.","tämä painike poistaa valitun kielen luettelosta."
"dát álggaha prográmma","tämä käynnistää ohjelman"
"dávjá jearahuvvon kde-gažaldagat (kde-djg","kde ukk"
"e language","e-kieli"
"eret-heivehusat","poissaoloasetukset"
"eret","poissa"
"erohala","järjestä"
"erohala geavaheddjiid","lajittele käyttäjät"
"e-notes","e-notes"
"e-boasta šáhkka várás","sähköpostishakki"
"e-boasta 1","sähköposti 1"
"e-boastaalias","sähköpostialias"
"e-boastabálvalus","sähköpostipalvelu"
"e-boastalisttu 1 sillen ...","suodata postituslistalla 1..."
"e-boastalisttu filttar ...","suodata postituslistalla..."
"e-boastalisttu válddahus","sähköpostilistan kuvaus"
"e-boastamáhpa iešvuođat","sähköpostilistakansion ominaisuudet"
"e-boastaprográmma","sähköpostiohjelmat"
"e-boastaávaštus","sähköpostivaroitus"
"e-boastačujuhus barggus","työn sähköpostiosoite"
"e-boastačujuhus gosa dát dihkkeváidalus sáddejuvvo.","sähköpostiosoite, johon vikailmoitus lähetetään."
"e-boastta fievrrideapmi","postinvälitys"
"e-reive","galaxium-pikaviestin"
"eastersunday(200 3) dieđiha 'sotnabeaivi, cuoŋumánu 2 0. b. 200 3'","eastersunday(200 3) palauttaa \"2 0. huhtikuuta 200 3\""
"eastersunday(jahki","eastersunday(vuosi"
"edate(\"200 2-0 2-2 2\"; 3) dieđiha '200 2-0 5-2 2'","edate(\"2 2.2.200 2; 3) palauttaa \"2 2.5.200 2\""
"edate(\"200 2-0 3-3 1\"; -1) dieđiha '200 2-0 2-2 8'","edate(\"3 1.3.200 2\"; -1) palauttaa \"2 8.2.200 2\""
"edate(dáhton; mánut","edate(päivämäärä; kuukaudet"
"ef-1 konfaluhttabiebmi","ef-1 kirjekuorisyöttö"
"effect(0,0 8;1 2) dieđiha 0,08 3","effect(0.0 8;1 2) tuloksena on 0.08 3"
"egd-bálggis","egdn polku"
"egp","egp"
"eomonth(\"200 2-0 2-2 2\"; 3) dieđiha '200 2-0 5-3 1'","eomonth(\"2 2.2.200 2\"; 3) palauttaa \"3 1.5.200 2\""
"eomonth(\"200 2-0 3-1 2\"; -1) dieđiha '200 2-0 2-2 8'","eomonth(\"1 2.3.200 2\"; -1) palauttaa \"2 8.2.200 2\""
"eomonth(\"200 2-0 3-1 2\"; 0) dieđiha '200 2-0 3-3 1'","eomonth(\"1 2.3.200 2\"; 0) palauttaa \"3 1.3.200 2\""
